Entry Time,Exit Time,Gross,Lane,Lot,Rate,Ticket,Transaction Number
12/31/2010 18:59,1/1/2011 1:11,$0.00 ,23,4,7,0,172
12/31/2010 18:59,1/1/2011 4:01,$7.00 ,28,5,5,24548,153
12/31/2010 18:59,1/1/2011 12:52,$6.00 ,24,6,2,19779,3
12/31/2010 19:00,1/1/2011 0:56,$6.00 ,43,15,2,67432,15893
12/31/2010 19:00,1/1/2011 1:04,$0.00 ,23,4,7,0,169
12/31/2010 19:00,1/1/2011 1:39,$0.00 ,22,4,7,0,207
12/31/2010 19:01,1/1/2011 0:24,$6.00 ,44,15,2,67434,37151
12/31/2010 19:01,1/1/2011 0:38,$3.00 ,24,6,2,19782,177
12/31/2010 19:01,1/1/2011 1:09,$3.00 ,24,6,2,19781,193
12/31/2010 19:01,1/1/2011 2:28,$0.00 ,27,2,7,0,336
12/31/2010 19:01,1/1/2011 2:29,$6.00 ,43,15,2,67433,15910
12/31/2010 19:01,1/1/2011 12:46,$2.00 ,29,5,7,0,110
